RESULTS
┏━━━━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━┳━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━┓
┃ Locale      ┃ Model ┃ Language ┃ Samples ┃    WER ┃    CER ┃    Time ┃ Sec/Sample ┃
┡━━━━━━━━━━━━━╇━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━╇━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━━━┩
│ cmn_hans_cn │ tiny  │ auto     │     945 │ 1.0000 │ 0.4157 │  304.1s │       0.32 │
│ cmn_hans_cn │ tiny  │ zh       │     945 │ 1.0000 │ 0.4122 │  281.4s │       0.30 │
│ cmn_hans_cn │ base  │ auto     │     945 │ 0.9873 │ 0.3477 │  345.8s │       0.37 │
│ cmn_hans_cn │ base  │ zh       │     945 │ 0.9873 │ 0.3475 │  339.0s │       0.36 │
│ cmn_hans_cn │ small │ auto     │     945 │ 0.9132 │ 0.2170 │  580.3s │       0.61 │
│ cmn_hans_cn │ small │ zh       │     945 │ 0.9132 │ 0.2170 │  547.3s │       0.58 │
│ yue_hant_hk │ tiny  │ auto     │     819 │ 0.9988 │ 0.6124 │  436.4s │       0.53 │
│ yue_hant_hk │ tiny  │ zh       │     819 │ 0.9988 │ 0.4940 │  363.6s │       0.44 │
│ yue_hant_hk │ base  │ auto     │     819 │ 0.9927 │ 0.3536 │  361.8s │       0.44 │
│ yue_hant_hk │ base  │ zh       │     819 │ 0.9927 │ 0.3093 │  332.2s │       0.41 │
│ yue_hant_hk │ small │ auto     │     819 │ 0.9463 │ 0.1695 │  476.2s │       0.58 │
│ yue_hant_hk │ small │ zh       │     819 │ 0.9463 │ 0.1645 │  458.0s │       0.56 │
│ es_419      │ tiny  │ auto     │     908 │ 0.1942 │ 0.0661 │  272.5s │       0.30 │
│ es_419      │ tiny  │ es       │     908 │ 0.1914 │ 0.0636 │  254.1s │       0.28 │
│ es_419      │ base  │ auto     │     908 │ 0.1164 │ 0.0377 │  319.9s │       0.35 │
│ es_419      │ base  │ es       │     908 │ 0.1161 │ 0.0375 │  313.8s │       0.35 │
│ es_419      │ small │ auto     │     908 │ 0.0617 │ 0.0204 │  537.1s │       0.59 │
│ es_419      │ small │ es       │     908 │ 0.0607 │ 0.0194 │  504.9s │       0.56 │
│ gl_es       │ tiny  │ auto     │     927 │ 0.6890 │ 0.2285 │  337.9s │       0.36 │
│ gl_es       │ tiny  │ gl       │     927 │ 0.5925 │ 0.1957 │  304.8s │       0.33 │
│ gl_es       │ base  │ auto     │     927 │ 0.5965 │ 0.1872 │  387.2s │       0.42 │
│ gl_es       │ base  │ gl       │     927 │ 0.5036 │ 0.1451 │  339.5s │       0.37 │
│ gl_es       │ small │ auto     │     927 │ 0.5183 │ 0.1414 │  553.2s │       0.60 │
│ gl_es       │ small │ gl       │     927 │ 0.3264 │ 0.0864 │  517.0s │       0.56 │
│ fr_fr       │ tiny  │ auto     │     676 │ 0.4450 │ 0.1966 │  247.4s │       0.37 │
│ fr_fr       │ tiny  │ fr       │     676 │ 0.4467 │ 0.1976 │  221.7s │       0.33 │
│ fr_fr       │ base  │ auto     │     676 │ 0.2864 │ 0.1180 │  251.5s │       0.37 │
│ fr_fr       │ base  │ fr       │     676 │ 0.2844 │ 0.1166 │  249.3s │       0.37 │
│ fr_fr       │ small │ auto     │     676 │ 0.1486 │ 0.0535 │  416.4s │       0.62 │
│ fr_fr       │ small │ fr       │     676 │ 0.1487 │ 0.0537 │  400.6s │       0.59 │
│ oc_fr       │ tiny  │ auto     │     998 │ 1.0112 │ 0.6082 │ 1041.2s │       1.04 │
│ oc_fr       │ tiny  │ oc       │     998 │ 0.9662 │ 0.6189 │ 1315.5s │       1.32 │
│ oc_fr       │ base  │ auto     │     998 │ 0.9546 │ 0.4624 │  795.6s │       0.80 │
│ oc_fr       │ base  │ oc       │     998 │ 0.8586 │ 0.3871 │  817.8s │       0.82 │
│ oc_fr       │ small │ auto     │     998 │ 0.8877 │ 0.4081 │ 1799.5s │       1.80 │
│ oc_fr       │ small │ oc       │     998 │ 0.9156 │ 0.4583 │ 2984.6s │       2.99 │
│ hi_in       │ tiny  │ auto     │     418 │ 1.0904 │ 1.2682 │  656.5s │       1.57 │
│ hi_in       │ tiny  │ hi       │     418 │ 1.1186 │ 1.3670 │  678.8s │       1.62 │
│ hi_in       │ base  │ auto     │     418 │ 1.0305 │ 1.1759 │  490.1s │       1.17 │
│ hi_in       │ base  │ hi       │     418 │ 1.0388 │ 1.1841 │  491.9s │       1.18 │
│ hi_in       │ small │ auto     │     418 │ 0.5408 │ 0.3312 │  830.0s │       1.99 │
│ hi_in       │ small │ hi       │     418 │ 0.4854 │ 0.2410 │  895.0s │       2.14 │
│ pa_in       │ tiny  │ auto     │     574 │ 1.0503 │ 1.2071 │  900.5s │       1.57 │
│ pa_in       │ tiny  │ pa       │     574 │ 1.0246 │ 1.1193 │  925.1s │       1.61 │
│ pa_in       │ base  │ auto     │     574 │ 1.0171 │ 1.1306 │ 1104.8s │       1.92 │
│ pa_in       │ base  │ pa       │     574 │ 1.0289 │ 1.1411 │  943.5s │       1.64 │
│ pa_in       │ small │ auto     │     574 │ 1.0511 │ 1.0602 │ 4073.1s │       7.10 │
│ pa_in       │ small │ pa       │     574 │ 1.0629 │ 1.1079 │ 5511.2s │       9.60 │
└─────────────┴───────┴──────────┴─────────┴────────┴────────┴─────────┴────────────┘
